# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2201.985180    6.2777943015E-05    2.5320099882E-24
 2201.995200    5.5926271488E-05    2.2556629161E-24
 2202.005220    5.0074449866E-05    2.0196425866E-24
 2202.015240    4.5247845375E-05    1.8249721309E-24
 2202.025260    4.1380135547E-05    1.6689765782E-24
 2202.035280    3.8373107053E-05    1.5476947104E-24
 2202.045300    3.6126782492E-05    1.4570941595E-24
 2202.055320    3.4550880172E-05    1.3935336122E-24
 2202.065340    3.3561491004E-05    1.3536287804E-24
 2202.075360    3.3086776430E-05    1.3344822142E-24
 2202.085380    3.3035273396E-05    1.3324049528E-24
 2202.095400    3.3293582030E-05    1.3428232623E-24
 2202.105420    3.3709105230E-05    1.3595824749E-24
 2202.115440    3.4086799905E-05    1.3748159574E-24
 2202.125460    3.4223346124E-05    1.3803232482E-24
 2202.135480    3.3913783466E-05    1.3678377205E-24
 2202.145500    3.3090320246E-05    1.3346251462E-24
 2202.155520    3.1806276618E-05    1.2828360761E-24
 2202.165540    3.0218078196E-05    1.2187795927E-24
 2202.175560    2.8516140757E-05    1.1501356966E-24
 2202.185580    2.6863897651E-05    1.0834961120E-24
 2202.195600    2.5371119794E-05    1.0232882068E-24
 2202.205620    2.4095258732E-05    9.7182916239E-25
 2202.215640    2.3056688056E-05    9.2994070289E-25
 2202.225660    2.2253967125E-05    8.9756472306E-25
 2202.235680    2.1675648750E-05    8.7423952586E-25
 2202.245700    2.1307558286E-05    8.5939340817E-25
 2202.255720    2.1136338988E-05    8.5248765507E-25
 2202.265740    2.1153836910E-05    8.5319339521E-25
 2202.275760    2.1354727785E-05    8.6129588595E-25
 2202.285780    2.1740576112E-05    8.7685822793E-25
 2202.295800    2.2312846226E-05    8.9993948187E-25
 2202.305820    2.3080312789E-05    9.3089355442E-25
 2202.315840    2.4051089679E-05    9.7004770099E-25
 2202.325860    2.5227564366E-05    1.0174982149E-24
 2202.335880    2.6599845710E-05    1.0728461588E-24
 2202.345900    2.8135022085E-05    1.1347641149E-24
 2202.355920    2.9767666759E-05    1.2006132399E-24
 2202.365940    3.1399540931E-05    1.2664312885E-24
 2202.375960    3.2917998794E-05    1.3276749402E-24
 2202.385980    3.4237594920E-05    1.3808979419E-24
 2202.396000    3.5345259532E-05    1.4255731531E-24
 2202.406020    3.6317617900E-05    1.4647910851E-24
 2202.416040    3.7296609854E-05    1.5042765682E-24
 2202.426060    3.8444062151E-05    1.5505565279E-24
 2202.436080    3.9900765142E-05    1.6093094330E-24
 2202.446100    4.1781313078E-05    1.6851571898E-24
 2202.456120    4.4173468336E-05    1.7816395006E-24
 2202.466140    4.7153012199E-05    1.9018128363E-24
 2202.476160    5.0799543066E-05    2.0488876230E-24
 2202.486180    5.5214150396E-05    2.2269410812E-24
 2202.496200    6.0535329559E-05    2.4415591165E-24
 2202.506220    6.6950071825E-05    2.7002836097E-24
 2202.516240    7.4695077796E-05    3.0126613579E-24
 2202.526260    8.4036355572E-05    3.3894212117E-24
 2202.536280    9.5256940136E-05    3.8419787633E-24
 2202.546300    1.0852908955E-04    4.3772816622E-24
 2202.556320    1.2384466115E-04    4.9950014919E-24
 2202.566340    1.4075822198E-04    5.6771726957E-24
 2202.576360    1.5812829565E-04    6.3777563388E-24
 2202.586380    1.7395173556E-04    7.0159599176E-24
 2202.596400    1.8561705694E-04    7.4864549489E-24
 2202.606420    1.9080014984E-04    7.6955035788E-24
 2202.616440    1.8864439087E-04    7.6085557913E-24
 2202.626460    1.8028522227E-04    7.2714071471E-24
 2202.636480    1.6820838121E-04    6.7843143765E-24
 2202.646500    1.5504486782E-04    6.2533930722E-24
 2202.656520    1.4270924452E-04    5.7558628904E-24
 2202.666540    1.3215000257E-04    5.3299791355E-24
 2202.676560    1.2352632350E-04    4.9821620445E-24
 2202.686580    1.1645113876E-04    4.6968000595E-24
 2202.696600    1.1033542055E-04    4.4501360427E-24
