x;GC790B;GC859C;GC727H;GC874C-1;GC874C-2;GC756B;GC801B
2333,442;0,797;0,76883;0,53477;0,30782;0,2004;0,48909;0,26128
2334,374;0,80742;0,77325;0,53482;0,31904;0,20629;0,51419;0,27928
2334,386;0,80755;0,77329;0,53481;0,31917;0,20637;0,51449;0,27949
2334,496;0,80877;0,77373;0,53464;0,32042;0,20713;0,51737;0,28157
2334,83;0,81246;0,77496;0,534;0,32414;0,20953;0,52609;0,28783
2335,301;0,81761;0,77637;0,53281;0,32919;0,21316;0,53831;0,29651
2335,509;0,81986;0,77686;0,53218;0,33138;0,21487;0,5437;0,30029
2335,807;0,82305;0,77742;0,53112;0,33448;0,21746;0,55144;0,30564
2336,135;0,82652;0,77786;0,52968;0,33789;0,22049;0,55999;0,31146
2337,064;0,83617;0,77828;0,52157;0,34779;0,23043;0,58473;0,32762
2337,648;0,84211;0,77802;0,5145;0,35456;0,2379;0,6009;0,33753
2338,007;0,84574;0,7777;0,51007;0,35924;0,24309;0,6104;0,34355
2338,285;0,84852;0,77737;0,50663;0,36337;0,24743;0,61691;0,34815
2338,342;0,84908;0,7773;0,50594;0,36428;0,24835;0,61813;0,34908
2338,586;0,85151;0,77696;0,50292;0,3686;0,25245;0,62299;0,35307
2338,942;0,85502;0,77694;0,49852;0,37636;0,25886;0,62909;0,35881
2339,085;0,85643;0,77689;0,49674;0,38013;0,2616;0,63131;0,36112
2339,608;0,86156;0,7764;0,49026;0,39655;0,27234;0,63869;0,36962
2340,264;0,86799;0,77521;0,48213;0,41782;0,28728;0,64706;0,3806
2340,491;0,87023;0,77464;0,47931;0,42548;0,29271;0,64983;0,38448
2340,932;0,87461;0,77332;0,47384;0,44204;0,30342;0,6551;0,39202
2340,983;0,87512;0,77315;0,47321;0,44423;0,30467;0,6557;0,39288
2341,175;0,87705;0,77247;0,47083;0,45341;0,30935;0,65796;0,39612
2341,821;0,88371;0,7698;0,46303;0,48861;0,32488;0,66553;0,4067
2342,18;0,88754;0,76813;0,45906;0,50215;0,33307;0,66976;0,41228
2342,369;0,88959;0,7672;0,45713;0,50839;0,33707;0,672;0,4151
2342,868;0,89525;0,76463;0,45248;0,52431;0,34697;0,67797;0,4221
2343,074;0,8977;0,76352;0,45072;0,53114;0,35185;0,68043;0,42476
2343,191;0,89912;0,76288;0,44974;0,53521;0,355;0,68183;0,42621
2343,258;0,89994;0,76251;0,44919;0,53758;0,35692;0,68262;0,427
2343,974;0,9092;0,75841;0,44353;0,5635;0,38143;0,69098;0,43432
2344,407;0,91516;0,75583;0,44025;0,57735;0,39817;0,69581;0,43772
2344,578;0,91759;0,75479;0,43897;0,58224;0,40488;0,69767;0,43888
2345,692;0,93382;0,74943;0,43088;0,60913;0,44701;0,70858;0,44475
2345,835;0,93592;0,74882;0,42986;0,61224;0,45208;0,70982;0,44536
2346,284;0,94248;0,74702;0,42669;0,62171;0,46727;0,71345;0,44721
2346,762;0,9494;0,74535;0,42336;0,63147;0,48195;0,71691;0,44909
2347,214;0,95591;0,74402;0,42025;0,64049;0,49417;0,71986;0,45084
2347,709;0,963;0,74289;0,41688;0,65021;0,50527;0,72281;0,45273
2347,771;0,96388;0,74277;0,41646;0,65142;0,50647;0,72316;0,45297
2348,435;0,97329;0,74196;0,41211;0,66423;0,51643;0,72674;0,45547
2348,8;0,97843;0,74179;0,4098;0,6712;0,51991;0,7286;0,45683
2350,345;0,99998;0,74286;0,40107;0,69685;0,52322;0,73593;0,46244
2350,836;1,00729;0,74371;0,3987;0,70328;0,52202;0,73815;0,46416
2350,839;1,00733;0,74371;0,39868;0,70331;0,52201;0,73816;0,46417
2351,129;1,0117;0,74432;0,39738;0,70674;0,52111;0,73946;0,46518
2351,657;1,01948;0,74539;0,39519;0,71241;0,51939;0,7418;0,46698
2352,051;1,02484;0,74613;0,39371;0,71628;0,51822;0,74353;0,4683
2352,394;1,02927;0,74673;0,39253;0,71948;0,51736;0,74503;0,46942
2352,57;1,0316;0,74703;0,39197;0,72108;0,51697;0,7458;0,46999
2352,622;1,03231;0,74711;0,39181;0,72155;0,51687;0,74603;0,47016
