# Absorption coefficients
# CDSD 296K. Molecule CO2. Isotopologue(s): 626,636,628.
# Wavenumber range: 600-3000 cm-1, T: 296 K, P: 5 atm, step: 0.05007 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  615.510510    1.2973898875E+00    1.0465472413E-20
  615.560580    1.3058330460E+00    1.0533579651E-20
  615.610650    1.3142833577E+00    1.0601744591E-20
  615.660720    1.3227346651E+00    1.0669917563E-20
  615.710790    1.3311805360E+00    1.0738046681E-20
  615.760860    1.3396142634E+00    1.0806077843E-20
  615.810930    1.3480288712E+00    1.0873954776E-20
  615.861000    1.3564171146E+00    1.0941619038E-20
  615.911070    1.3647714927E+00    1.1009010124E-20
  615.961140    1.3730842518E+00    1.1076065488E-20
  616.011210    1.3813473952E+00    1.1142720624E-20
  616.061280    1.3895526954E+00    1.1208909164E-20
  616.111350    1.3976917062E+00    1.1274562977E-20
  616.161420    1.4057557777E+00    1.1339612288E-20
  616.211490    1.4137360726E+00    1.1403985809E-20
  616.261560    1.4216236940E+00    1.1467611775E-20
  616.311630    1.4294092774E+00    1.1530414645E-20
  616.361700    1.4370836365E+00    1.1592320317E-20
  616.411770    1.4446373974E+00    1.1653253177E-20
  616.461840    1.4520611032E+00    1.1713136940E-20
  616.511910    1.4593452520E+00    1.1771894958E-20
  616.561980    1.4664803187E+00    1.1829450396E-20
  616.612050    1.4734569058E+00    1.1885727449E-20
  616.662120    1.4802653393E+00    1.1940648082E-20
  616.712190    1.4868963495E+00    1.1994137519E-20
  616.762260    1.4933406776E+00    1.2046121074E-20
  616.812330    1.4995892201E+00    1.2096525311E-20
  616.862400    1.5056330662E+00    1.2145278354E-20
  616.912470    1.5114635371E+00    1.2192310194E-20
  616.962540    1.5170722245E+00    1.2237553003E-20
  617.012610    1.5224510297E+00    1.2280941453E-20
  617.062680    1.5275922026E+00    1.2322413029E-20
  617.112750    1.5324883801E+00    1.2361908335E-20
  617.162820    1.5371326237E+00    1.2399371402E-20
  617.212890    1.5415184561E+00    1.2434749979E-20
  617.262960    1.5456398962E+00    1.2467995819E-20
  617.313030    1.5494914923E+00    1.2499064948E-20
  617.363100    1.5530683533E+00    1.2527917909E-20
  617.413170    1.5563661779E+00    1.2554520006E-20
  617.463240    1.5593812801E+00    1.2578841507E-20
  617.513310    1.5621106130E+00    1.2600857832E-20
  617.563380    1.5645517880E+00    1.2620549715E-20
  617.613450    1.5667030917E+00    1.2637903335E-20
  617.663520    1.5685634989E+00    1.2652910419E-20
  617.713590    1.5701326808E+00    1.2665568318E-20
  617.763660    1.5714110112E+00    1.2675880046E-20
  617.813730    1.5723995695E+00    1.2683854310E-20
  617.863800    1.5731001263E+00    1.2689505393E-20
