,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
2969,3462.71,3.4924,0.0,0.0,0.0,0.0,5.65545,-2.16305,0.0657791
2970,3463.67,3.4918,0.0,0.0,0.0,0.0,5.65966,-2.16786,0.0585703
2971,3464.64,3.48621,0.0,0.0,0.0,0.0,5.66387,-2.17766,0.0528035
2972,3465.6,3.46673,0.0,0.0,0.0,0.0,5.66808,-2.20135,0.053924
2973,3466.57,3.45405,0.0,0.0,0.0,0.0,5.67228,-2.21823,0.0598126
2974,3467.53,3.45384,0.0,0.0,0.0,0.0,5.67649,-2.22265,0.0589969
2975,3468.49,3.44063,0.0,0.0,0.0,0.0,5.6807,-2.24007,0.0530524
2976,3469.46,3.43397,0.0,0.0,0.0,0.0,5.68491,-2.25093,0.0521676
2977,3470.42,3.44142,0.0,0.0,0.0,0.0,5.68911,-2.24769,0.0534883
2978,3471.39,3.44353,0.0,0.0,0.0,0.0,5.69332,-2.24979,0.0527124
2979,3472.35,3.44106,0.0,0.0,0.0,0.0,5.69753,-2.25647,0.0523644
2980,3473.32,3.44043,0.0,0.0,0.0,0.0,5.70174,-2.26131,0.0535956
2981,3474.28,3.43214,0.0,0.0,0.0,0.0,5.70594,-2.2738,0.0589935
2982,3475.24,3.43276,0.0,0.0,0.0,0.0,5.71015,-2.27738,0.0621422
2983,3476.21,3.43118,0.0,0.0,0.0,0.0,5.71436,-2.28318,0.0557234
2984,3477.17,3.41745,0.0,0.0,0.0,0.0,5.71857,-2.30111,0.0514938
2985,3478.14,3.41066,0.0,0.0,0.0,0.0,5.72277,-2.31211,0.0514837
2986,3479.1,3.38832,0.0,0.0,0.0,0.0,5.72698,-2.33867,0.0534034
2987,3480.07,3.38366,0.0,0.0,0.0,0.0,5.73119,-2.34753,0.0622034
2988,3481.03,3.38803,0.0,0.0,0.0,0.0,5.7354,-2.34736,0.072029
2989,3481.99,3.39551,0.0,0.0,0.0,0.0,5.7396,-2.34409,0.0820791
2990,3482.96,3.40534,0.0,0.0,0.0,0.0,5.74381,-2.33848,0.0750324
2991,3483.92,3.37799,0.0,0.0,0.0,0.0,5.74802,-2.37003,0.0580605
2992,3484.89,3.37481,0.0,0.0,0.0,0.0,5.75223,-2.37742,0.0554422
2993,3485.85,3.37291,0.0,0.0,0.0,0.0,5.75644,-2.38353,0.0567008
2994,3486.82,3.36741,0.0,0.0,0.0,0.0,5.76065,-2.39323,0.059312
2995,3487.78,3.36798,0.0,0.0,0.0,0.0,5.76485,-2.39688,0.0693903
2996,3488.74,3.39603,0.0,0.0,0.0,0.0,5.76906,-2.37303,0.0681613
2997,3489.71,3.38154,0.0,0.0,0.0,0.0,5.77327,-2.39172,0.0550035
