,wavenumber,experimental,"CO2 ν2a, phase I"
519,1100.24,3.02706,0.0
520,1101.2,3.03324,0.0
521,1102.16,3.03918,0.0
522,1103.13,3.04473,0.0
523,1104.09,3.04662,0.0
524,1105.06,3.04723,0.0
525,1106.02,3.05182,0.0
526,1106.99,3.06016,0.0
527,1107.95,3.06442,0.0
528,1108.91,3.06935,0.0
529,1109.88,3.0704,0.0
530,1110.84,3.0789,0.0
531,1111.81,3.08354,0.0
532,1112.77,3.08824,0.0
533,1113.74,3.08702,0.0
534,1114.7,3.09143,0.0
535,1115.66,3.10008,0.0
536,1116.63,3.10303,0.0
537,1117.59,3.10771,0.0
538,1118.56,3.11471,0.0
539,1119.52,3.11952,0.0
540,1120.49,3.11958,0.0
541,1121.45,3.11923,0.0
542,1122.41,3.11816,0.0
543,1123.38,3.12352,0.0
544,1124.34,3.13166,0.0
545,1125.31,3.12502,0.0
546,1126.27,3.12378,0.0
547,1127.24,3.1289,0.0
548,1128.2,3.13038,0.0
549,1129.16,3.1266,0.0
550,1130.13,3.12689,0.0
551,1131.09,3.13122,0.0
552,1132.06,3.13632,0.0
553,1133.02,3.13654,0.0
554,1133.99,3.1352,0.0
555,1134.95,3.13101,0.0
556,1135.91,3.13584,0.0
557,1136.88,3.13867,0.0
558,1137.84,3.14045,0.0
559,1138.81,3.14004,0.0
560,1139.77,3.14187,0.0
561,1140.74,3.14095,0.0
562,1141.7,3.13817,0.0
563,1142.66,3.13745,0.0
564,1143.63,3.13614,0.0
565,1144.59,3.13002,0.0
566,1145.56,3.12658,0.0
567,1146.52,3.12501,0.0
568,1147.49,3.12624,0.0
569,1148.45,3.12735,0.0
570,1149.41,3.12647,0.0
571,1150.38,3.12341,0.0
572,1151.34,3.11842,0.0
573,1152.31,3.11621,0.0
574,1153.27,3.11662,0.0
575,1154.24,3.11572,0.0
576,1155.2,3.1151,0.0
577,1156.16,3.11045,0.0
578,1157.13,3.10439,0.0
579,1158.09,3.09761,0.0
580,1159.06,3.09346,0.0
581,1160.02,3.09416,0.0
582,1160.99,3.09248,0.0
583,1161.95,3.08545,0.0
584,1162.91,3.08701,0.0
585,1163.88,3.0843,0.0
586,1164.84,3.07788,0.0
587,1165.81,3.07183,0.0
588,1166.77,3.06727,0.0
589,1167.74,3.06851,0.0
590,1168.7,3.06882,0.0
591,1169.66,3.06645,0.0
592,1170.63,3.06392,0.0
593,1171.59,3.05987,0.0
594,1172.56,3.05816,0.0
595,1173.52,3.04966,0.0
596,1174.49,3.04565,0.0
597,1175.45,3.04182,0.0
598,1176.41,3.04005,0.0
599,1177.38,3.03647,0.0
600,1178.34,3.03057,0.0
601,1179.31,3.02892,0.0
602,1180.27,3.03117,0.0
603,1181.24,3.03117,0.0
604,1182.2,3.02556,0.0
605,1183.16,3.01717,0.0
606,1184.13,3.01764,0.0
607,1185.09,3.01961,0.0
608,1186.06,3.02132,0.0
609,1187.02,3.01962,0.0
610,1187.99,3.02053,0.0
611,1188.95,3.01434,0.0
612,1189.91,3.01132,0.0
613,1190.88,3.01372,0.0
614,1191.84,3.01706,0.0
615,1192.81,3.01639,0.0
616,1193.77,3.0125,0.0
617,1194.73,3.01445,0.0
618,1195.7,3.0157,0.0
619,1196.66,3.01602,0.0
620,1197.63,3.0196,0.0
621,1198.59,3.02096,0.0
622,1199.56,3.02096,0.0
623,1200.52,3.02078,0.0
624,1201.48,3.02568,0.0
625,1202.45,3.02618,0.0
626,1203.41,3.03088,0.0
627,1204.38,3.03693,0.0
628,1205.34,3.03862,0.0
629,1206.31,3.04379,0.0
630,1207.27,3.04765,0.0
631,1208.23,3.05047,0.0
632,1209.2,3.05485,0.0
633,1210.16,3.06141,0.0
634,1211.13,3.0674,0.0
635,1212.09,3.07397,0.0
