,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
3017,3508.99,3.36999,0.0,0.0,0.0,0.0,5.74986,-2.37987,0.0865088
3018,3509.96,3.4228,0.0,0.0,0.0,0.0,5.75402,-2.33122,0.0914792
3019,3510.92,3.39639,0.0,0.0,0.0,0.0,5.75818,-2.3618,0.0703363
3020,3511.89,3.37518,0.0,0.0,0.0,0.0,5.76234,-2.38716,0.0625681
3021,3512.85,3.39588,0.0,0.0,0.0,0.0,5.7665,-2.37062,0.0580897
3022,3513.81,3.39263,0.0,0.0,0.0,0.0,5.77066,-2.37803,0.0551843
3023,3514.78,3.37803,0.0,0.0,0.0,0.0,5.77483,-2.3968,0.0523952
3024,3515.74,3.38547,0.0,0.0,0.0,0.0,5.77899,-2.39351,0.0515046
3025,3516.71,3.36642,0.0,0.0,0.0,0.0,5.78315,-2.41673,0.0531234
3026,3517.67,3.33298,0.0,0.0,0.0,0.0,5.78731,-2.45433,0.0572907
3027,3518.64,3.32557,0.0,0.0,0.0,0.0,5.79147,-2.4659,0.0619715
3028,3519.6,3.3675,0.0,0.0,0.0,0.0,5.79563,-2.42813,0.0620143
3029,3520.56,3.3626,0.0,0.0,0.0,0.0,5.79979,-2.4372,0.0564516
3030,3521.53,3.33405,0.0,0.0,0.0,0.0,5.80396,-2.46991,0.0635343
3031,3522.49,3.29679,0.0,0.0,0.0,0.0,5.80812,-2.51133,0.0913796
3032,3523.46,3.32766,0.0,0.0,0.0,0.0,5.81228,-2.48462,0.106419
3033,3524.42,3.33766,0.0,0.0,0.0,0.0,5.81644,-2.47877,0.090459
3034,3525.39,3.32981,0.0,0.0,0.0,0.0,5.8206,-2.49079,0.0818152
3035,3526.35,3.2843,0.0,0.0,0.0,0.0,5.82476,-2.54047,0.0890637
3036,3527.31,3.2741,0.0,0.0,0.0,0.0,5.82892,-2.55482,0.10294
3037,3528.28,3.27041,0.0,0.0,0.0,0.0,5.83309,-2.56268,0.102052
3038,3529.24,3.27859,0.0,0.0,0.0,0.0,5.83725,-2.55866,0.0951032
3039,3530.21,3.27748,0.0,0.0,0.0,0.0,5.84141,-2.56392,0.0784684
3040,3531.17,3.29894,0.0,0.0,0.0,0.0,5.84557,-2.54663,0.0710202
3041,3532.14,3.31412,0.0,0.0,0.0,0.0,5.84973,-2.53561,0.0597985
3042,3533.1,3.30616,0.0,0.0,0.0,0.0,5.85389,-2.54773,0.0526148
3043,3534.06,3.27541,0.0,0.0,0.0,0.0,5.85805,-2.58264,0.0516792
3044,3535.03,3.24299,0.0,0.0,0.0,0.0,5.86222,-2.61923,0.0584854
3045,3535.99,3.24766,0.0,0.0,0.0,0.0,5.86638,-2.61872,0.0799935
3046,3536.96,3.28525,0.0,0.0,0.0,0.0,5.87054,-2.58529,0.0816165
3047,3537.92,3.25139,0.0,0.0,0.0,0.0,5.8747,-2.62331,0.0588906
3048,3538.89,3.23806,0.0,0.0,0.0,0.0,5.87886,-2.6408,0.0539524
3049,3539.85,3.24993,0.0,0.0,0.0,0.0,5.88302,-2.6331,0.0537877
3050,3540.81,3.23641,0.0,0.0,0.0,0.0,5.88718,-2.65078,0.0543481
3051,3541.78,3.18545,0.0,0.0,0.0,0.0,5.89134,-2.70589,0.0563844
3052,3542.74,3.17336,0.0,0.0,0.0,0.0,5.89551,-2.72214,0.0722723
3053,3543.71,3.18162,0.0,0.0,0.0,0.0,5.89967,-2.71805,0.0897815
3054,3544.67,3.1758,0.0,0.0,0.0,0.0,5.90383,-2.72803,0.11576
3055,3545.64,3.22288,0.0,0.0,0.0,0.0,5.90799,-2.68511,0.123986
3056,3546.6,3.23346,0.0,0.0,0.0,0.0,5.91216,-2.6787,0.122276
3057,3547.56,3.26301,0.0,0.0,0.0,0.0,5.91632,-2.65331,0.116138
3058,3548.53,3.21262,0.0,0.0,0.0,0.0,5.92048,-2.70786,0.0836504
3059,3549.49,3.17346,0.0,0.0,0.0,0.0,5.92464,-2.75118,0.0644055
3060,3550.46,3.16613,0.0,0.0,0.0,0.0,5.9288,-2.76267,0.0639354
3061,3551.42,3.12934,0.0,0.0,0.0,0.0,5.93296,-2.80362,0.0916703
3062,3552.39,3.17899,0.0,0.0,0.0,0.0,5.93712,-2.75813,0.118563
3063,3553.35,3.21283,0.0,0.0,0.0,0.0,5.94129,-2.72846,0.097605
3064,3554.31,3.22133,0.0,0.0,0.0,0.0,5.94545,-2.72411,0.0750189
3065,3555.28,3.21515,0.0,0.0,0.0,0.0,5.94961,-2.73446,0.0589052
3066,3556.24,3.17092,0.0,0.0,0.0,0.0,5.95377,-2.78284,0.0589369
3067,3557.21,3.11481,0.0,0.0,0.0,0.0,5.95793,-2.84312,0.0644995
3068,3558.17,3.08459,0.0,0.0,0.0,0.0,5.96209,-2.8775,0.0613592
