Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0187.CSV, 0187, Spec0187_O, Oband, 316.14170411002, 
FN7114 map truncated version0188.CSV, 0188, Spec0188_O, Oband, 311.5770473937, 
FN7114 map truncated version0189.CSV, 0189, Spec0189_O, Oband, 303.39320556388, 
FN7114 map truncated version0190.CSV, 0190, Spec0190_O, Oband, 294.33445163679, 
FN7114 map truncated version0191.CSV, 0191, Spec0191_O, Oband, 286.96872948594, 
FN7114 map truncated version0192.CSV, 0192, Spec0192_O, Oband, 286.81272721869, 
FN7114 map truncated version0193.CSV, 0193, Spec0193_O, Oband, 293.73050843588, 
FN7114 map truncated version0194.CSV, 0194, Spec0194_O, Oband, 278.98869228553, 
FN7114 map truncated version0195.CSV, 0195, Spec0195_O, Oband, 261.42525231926, 
FN7114 map truncated version0196.CSV, 0196, Spec0196_O, Oband, 286.06813927629, 
FN7114 map truncated version0197.CSV, 0197, Spec0197_O, Oband, 301.77239685892, 
FN7114 map truncated version0198.CSV, 0198, Spec0198_O, Oband, 308.44603181483, 
FN7114 map truncated version0199.CSV, 0199, Spec0199_O, Oband, 318.22036046498, 
FN7114 map truncated version0200.CSV, 0200, Spec0200_O, Oband, 306.90238300981, 
FN7114 map truncated version0201.CSV, 0201, Spec0201_O, Oband, 304.10367627626, 
FN7114 map truncated version0202.CSV, 0202, Spec0202_O, Oband, 301.35175978441, 
FN7114 map truncated version0203.CSV, 0203, Spec0203_O, Oband, 293.66988267016, 
FN7114 map truncated version0204.CSV, 0204, Spec0204_O, Oband, 284.06841914899, 
FN7114 map truncated version0205.CSV, 0205, Spec0205_O, Oband, 268.37570881056, 
FN7114 map truncated version0206.CSV, 0206, Spec0206_O, Oband, 266.26655632684, 
FN7114 map truncated version0207.CSV, 0207, Spec0207_O, Oband, 261.39641734777, 
FN7114 map truncated version0208.CSV, 0208, Spec0208_O, Oband, 235.88513089667, 
FN7114 map truncated version0209.CSV, 0209, Spec0209_O, Oband, 222.67484286465, 
FN7114 map truncated version0210.CSV, 0210, Spec0210_O, Oband, 254.50656857423, 
FN7114 map truncated version0211.CSV, 0211, Spec0211_O, Oband, 300.38471917074, 
FN7114 map truncated version0212.CSV, 0212, Spec0212_O, Oband, 287.90625097945, 
FN7114 map truncated version0213.CSV, 0213, Spec0213_O, Oband, 295.26200354919, 
FN7114 map truncated version0214.CSV, 0214, Spec0214_O, Oband, 291.99461883208, 
FN7114 map truncated version0215.CSV, 0215, Spec0215_O, Oband, 285.46210060446, 
FN7114 map truncated version0216.CSV, 0216, Spec0216_O, Oband, 279.91774434042, 
FN7114 map truncated version0217.CSV, 0217, Spec0217_O, Oband, 274.18272732526, 
FN7114 map truncated version0218.CSV, 0218, Spec0218_O, Oband, 269.20046706018, 
FN7114 map truncated version0219.CSV, 0219, Spec0219_O, Oband, 243.99673809422, 
FN7114 map truncated version0220.CSV, 0220, Spec0220_O, Oband, 228.35843823864, 
FN7114 map truncated version0221.CSV, 0221, Spec0221_O, Oband, 223.35934684993, 
FN7114 map truncated version0222.CSV, 0222, Spec0222_O, Oband, 201.13935487542, 
FN7114 map truncated version0223.CSV, 0223, Spec0223_O, Oband, 192.83904386332, 
FN7114 map truncated version0224.CSV, 0224, Spec0224_O, Oband, 206.73533517302, 
FN7114 map truncated version0225.CSV, 0225, Spec0225_O, Oband, 210.08093462448, 
FN7114 map truncated version0226.CSV, 0226, Spec0226_O, Oband, 292.93472390654, 
FN7114 map truncated version0227.CSV, 0227, Spec0227_O, Oband, 261.31015138143, 
FN7114 map truncated version0228.CSV, 0228, Spec0228_O, Oband, 258.7429496851, 
FN7114 map truncated version0229.CSV, 0229, Spec0229_O, Oband, 277.78685320243, 
FN7114 map truncated version0230.CSV, 0230, Spec0230_O, Oband, 282.5262287447, 
FN7114 map truncated version0231.CSV, 0231, Spec0231_O, Oband, 268.86122592345, 
FN7114 map truncated version0232.CSV, 0232, Spec0232_O, Oband, 252.59196323583, 
FN7114 map truncated version0233.CSV, 0233, Spec0233_O, Oband, 224.85977292305, 
FN7114 map truncated version0234.CSV, 0234, Spec0234_O, Oband, 182.168030106, 
FN7114 map truncated version0235.CSV, 0235, Spec0235_O, Oband, 147.09482005419, 
FN7114 map truncated version0236.CSV, 0236, Spec0236_O, Oband, 175.39955710446, 
FN7114 map truncated version0237.CSV, 0237, Spec0237_O, Oband, 164.75080643798, 
FN7114 map truncated version0238.CSV, 0238, Spec0238_O, Oband, 192.62745446377, 
FN7114 map truncated version0239.CSV, 0239, Spec0239_O, Oband, 291.06478119329, 
FN7114 map truncated version0240.CSV, 0240, Spec0240_O, Oband, 175.81361659484, 
FN7114 map truncated version0241.CSV, 0241, Spec0241_O, Oband, 333.05868489257, 
FN7114 map truncated version0242.CSV, 0242, Spec0242_O, Oband, 267.63185110793, 
FN7114 map truncated version0243.CSV, 0243, Spec0243_O, Oband, 261.2604731545, 
FN7114 map truncated version0244.CSV, 0244, Spec0244_O, Oband, 273.86828182217, 
FN7114 map truncated version0245.CSV, 0245, Spec0245_O, Oband, 273.60324223649, 
FN7114 map truncated version0246.CSV, 0246, Spec0246_O, Oband, 241.93118208069, 
FN7114 map truncated version0247.CSV, 0247, Spec0247_O, Oband, 199.04928902039, 
FN7114 map truncated version0248.CSV, 0248, Spec0248_O, Oband, 157.4523472438, 
FN7114 map truncated version0249.CSV, 0249, Spec0249_O, Oband, 162.28972901245, 
FN7114 map truncated version0250.CSV, 0250, Spec0250_O, Oband, 171.71144634451, 
FN7114 map truncated version0251.CSV, 0251, Spec0251_O, Oband, 145.42809548891, 
FN7114 map truncated version0252.CSV, 0252, Spec0252_O, Oband, 161.76352132524, 
FN7114 map truncated version0253.CSV, 0253, Spec0253_O, Oband, 288.75969808089, 
FN7114 map truncated version0254.CSV, 0254, Spec0254_O, Oband, 246.9767566549, 
FN7114 map truncated version0255.CSV, 0255, Spec0255_O, Oband, 216.41025234784, 
FN7114 map truncated version0256.CSV, 0256, Spec0256_O, Oband, 306.01032693988, 
FN7114 map truncated version0257.CSV, 0257, Spec0257_O, Oband, 317.16565898261, 
FN7114 map truncated version0258.CSV, 0258, Spec0258_O, Oband, 308.75377639591, 
FN7114 map truncated version0259.CSV, 0259, Spec0259_O, Oband, 267.92720872659, 
FN7114 map truncated version0260.CSV, 0260, Spec0260_O, Oband, 263.18208327644, 
FN7114 map truncated version0261.CSV, 0261, Spec0261_O, Oband, 225.2392070705, 
FN7114 map truncated version0262.CSV, 0262, Spec0262_O, Oband, 148.82024254837, 
FN7114 map truncated version0263.CSV, 0263, Spec0263_O, Oband, 142.41663333646, 
FN7114 map truncated version0264.CSV, 0264, Spec0264_O, Oband, 186.39099959077, 
FN7114 map truncated version0265.CSV, 0265, Spec0265_O, Oband, 163.56133206608, 
FN7114 map truncated version0266.CSV, 0266, Spec0266_O, Oband, 170.09863935356, 
FN7114 map truncated version0267.CSV, 0267, Spec0267_O, Oband, 191.72349871521, 
FN7114 map truncated version0268.CSV, 0268, Spec0268_O, Oband, 178.12502268114, 
FN7114 map truncated version0269.CSV, 0269, Spec0269_O, Oband, 203.45222483394, 
FN7114 map truncated version0270.CSV, 0270, Spec0270_O, Oband, 340.45968654491, 
