Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0177.CSV, 0177, Spec0177_B, Bcenter, 6.9643889514454, 
FN7114 map truncated version0178.CSV, 0178, Spec0178_B, Bcenter, 6.6128477414808, 
FN7114 map truncated version0179.CSV, 0179, Spec0179_B, Bcenter, 7.1902642831815, 
FN7114 map truncated version0180.CSV, 0180, Spec0180_B, Bcenter, 6.1474274291292, 
FN7114 map truncated version0181.CSV, 0181, Spec0181_B, Bcenter, 4.4048057944149, 
FN7114 map truncated version0182.CSV, 0182, Spec0182_B, Bcenter, 2.768404855186, 
FN7114 map truncated version0183.CSV, 0183, Spec0183_B, Bcenter, 2.5428541226026, 
FN7114 map truncated version0184.CSV, 0184, Spec0184_B, Bcenter, 2.8995732633626, 
FN7114 map truncated version0185.CSV, 0185, Spec0185_B, Bcenter, 3.6216861958883, 
FN7114 map truncated version0186.CSV, 0186, Spec0186_B, Bcenter, 5.0275006073663, 
FN7114 map truncated version0187.CSV, 0187, Spec0187_B, Bcenter, 5.5871890033312, 
FN7114 map truncated version0188.CSV, 0188, Spec0188_B, Bcenter, 6.2684116676317, 
FN7114 map truncated version0189.CSV, 0189, Spec0189_B, Bcenter, 7.2092669636347, 
FN7114 map truncated version0190.CSV, 0190, Spec0190_B, Bcenter, 7.6374912683937, 
FN7114 map truncated version0191.CSV, 0191, Spec0191_B, Bcenter, 8.1433924737984, 
FN7114 map truncated version0192.CSV, 0192, Spec0192_B, Bcenter, 8.1708841183083, 
FN7114 map truncated version0193.CSV, 0193, Spec0193_B, Bcenter, 11.896982412236, 
FN7114 map truncated version0194.CSV, 0194, Spec0194_B, Bcenter, 18.381085414686, 
FN7114 map truncated version0195.CSV, 0195, Spec0195_B, Bcenter, 17.647343117844, 
FN7114 map truncated version0196.CSV, 0196, Spec0196_B, Bcenter, 5.2766332531643, 
FN7114 map truncated version0197.CSV, 0197, Spec0197_B, Bcenter, 3.7932926950872, 
FN7114 map truncated version0198.CSV, 0198, Spec0198_B, Bcenter, 3.9797965710662, 
FN7114 map truncated version0199.CSV, 0199, Spec0199_B, Bcenter, 4.8736758812978, 
FN7114 map truncated version0200.CSV, 0200, Spec0200_B, Bcenter, 6.6519528194045, 
FN7114 map truncated version0201.CSV, 0201, Spec0201_B, Bcenter, 7.2851620840776, 
FN7114 map truncated version0202.CSV, 0202, Spec0202_B, Bcenter, 8.2312022997734, 
FN7114 map truncated version0203.CSV, 0203, Spec0203_B, Bcenter, 9.3052788301535, 
FN7114 map truncated version0204.CSV, 0204, Spec0204_B, Bcenter, 10.282251257196, 
FN7114 map truncated version0205.CSV, 0205, Spec0205_B, Bcenter, 13.246302836027, 
FN7114 map truncated version0206.CSV, 0206, Spec0206_B, Bcenter, 14.028708854986, 
FN7114 map truncated version0207.CSV, 0207, Spec0207_B, Bcenter, 24.147340239674, 
FN7114 map truncated version0208.CSV, 0208, Spec0208_B, Bcenter, 26.880480607656, 
FN7114 map truncated version0209.CSV, 0209, Spec0209_B, Bcenter, 26.036588644897, 
FN7114 map truncated version0210.CSV, 0210, Spec0210_B, Bcenter, 24.437013418012, 
FN7114 map truncated version0211.CSV, 0211, Spec0211_B, Bcenter, 7.4283614880992, 
FN7114 map truncated version0212.CSV, 0212, Spec0212_B, Bcenter, 5.37654624917, 
FN7114 map truncated version0213.CSV, 0213, Spec0213_B, Bcenter, 5.2995148756696, 
FN7114 map truncated version0214.CSV, 0214, Spec0214_B, Bcenter, 6.4471233708595, 
FN7114 map truncated version0215.CSV, 0215, Spec0215_B, Bcenter, 7.2188873034011, 
FN7114 map truncated version0216.CSV, 0216, Spec0216_B, Bcenter, 8.2123849292169, 
FN7114 map truncated version0217.CSV, 0217, Spec0217_B, Bcenter, 9.9022198065577, 
FN7114 map truncated version0218.CSV, 0218, Spec0218_B, Bcenter, 19.300671028109, 
FN7114 map truncated version0219.CSV, 0219, Spec0219_B, Bcenter, 25.707644457546, 
FN7114 map truncated version0220.CSV, 0220, Spec0220_B, Bcenter, 27.113039954146, 
FN7114 map truncated version0221.CSV, 0221, Spec0221_B, Bcenter, 32.835934403376, 
FN7114 map truncated version0222.CSV, 0222, Spec0222_B, Bcenter, 34.233689701111, 
FN7114 map truncated version0223.CSV, 0223, Spec0223_B, Bcenter, 34.323272343261, 
FN7114 map truncated version0224.CSV, 0224, Spec0224_B, Bcenter, 28.260571933715, 
FN7114 map truncated version0225.CSV, 0225, Spec0225_B, Bcenter, 30.155902461972, 
FN7114 map truncated version0226.CSV, 0226, Spec0226_B, Bcenter, 8.5332974362546, 
FN7114 map truncated version0227.CSV, 0227, Spec0227_B, Bcenter, 7.0299692324561, 
FN7114 map truncated version0228.CSV, 0228, Spec0228_B, Bcenter, 7.7854480516407, 
FN7114 map truncated version0229.CSV, 0229, Spec0229_B, Bcenter, 7.6336906909207, 
FN7114 map truncated version0230.CSV, 0230, Spec0230_B, Bcenter, 7.9379845399865, 
FN7114 map truncated version0231.CSV, 0231, Spec0231_B, Bcenter, 10.026476938655, 
FN7114 map truncated version0232.CSV, 0232, Spec0232_B, Bcenter, 26.400319442392, 
FN7114 map truncated version0233.CSV, 0233, Spec0233_B, Bcenter, 35.00514968256, 
FN7114 map truncated version0234.CSV, 0234, Spec0234_B, Bcenter, 45.970643420405, 
FN7114 map truncated version0235.CSV, 0235, Spec0235_B, Bcenter, 49.784132818371, 
FN7114 map truncated version0236.CSV, 0236, Spec0236_B, Bcenter, 41.722893751591, 
FN7114 map truncated version0237.CSV, 0237, Spec0237_B, Bcenter, 38.405454150432, 
FN7114 map truncated version0238.CSV, 0238, Spec0238_B, Bcenter, 34.586016674523, 
FN7114 map truncated version0239.CSV, 0239, Spec0239_B, Bcenter, 40.85972311208, 
FN7114 map truncated version0240.CSV, 0240, Spec0240_B, Bcenter, 42.463937917227, 
FN7114 map truncated version0241.CSV, 0241, Spec0241_B, Bcenter, 11.018652500806, 
FN7114 map truncated version0242.CSV, 0242, Spec0242_B, Bcenter, 8.8965556482871, 
FN7114 map truncated version0243.CSV, 0243, Spec0243_B, Bcenter, 8.7926353344377, 
FN7114 map truncated version0244.CSV, 0244, Spec0244_B, Bcenter, 7.9302832112836, 
FN7114 map truncated version0245.CSV, 0245, Spec0245_B, Bcenter, 8.7578317579537, 
FN7114 map truncated version0246.CSV, 0246, Spec0246_B, Bcenter, 23.092923426419, 
FN7114 map truncated version0247.CSV, 0247, Spec0247_B, Bcenter, 38.59900196516, 
FN7114 map truncated version0248.CSV, 0248, Spec0248_B, Bcenter, 53.193029189461, 
FN7114 map truncated version0249.CSV, 0249, Spec0249_B, Bcenter, 52.995586111672, 
FN7114 map truncated version0250.CSV, 0250, Spec0250_B, Bcenter, 49.479988418505, 
FN7114 map truncated version0251.CSV, 0251, Spec0251_B, Bcenter, 42.764566388601, 
FN7114 map truncated version0252.CSV, 0252, Spec0252_B, Bcenter, 40.573354922103, 
FN7114 map truncated version0253.CSV, 0253, Spec0253_B, Bcenter, 46.151772097244, 
FN7114 map truncated version0254.CSV, 0254, Spec0254_B, Bcenter, 41.795085891149, 
FN7114 map truncated version0255.CSV, 0255, Spec0255_B, Bcenter, 46.097929275145, 
FN7114 map truncated version0256.CSV, 0256, Spec0256_B, Bcenter, 12.517106708449, 
FN7114 map truncated version0257.CSV, 0257, Spec0257_B, Bcenter, 8.1003636491807, 
FN7114 map truncated version0258.CSV, 0258, Spec0258_B, Bcenter, 8.7902861505846, 
FN7114 map truncated version0259.CSV, 0259, Spec0259_B, Bcenter, 10.308725969789, 
FN7114 map truncated version0260.CSV, 0260, Spec0260_B, Bcenter, 13.402563014096, 
FN7114 map truncated version0261.CSV, 0261, Spec0261_B, Bcenter, 28.124335047175, 
FN7114 map truncated version0262.CSV, 0262, Spec0262_B, Bcenter, 52.896664739485, 
FN7114 map truncated version0263.CSV, 0263, Spec0263_B, Bcenter, 62.505278902805, 
FN7114 map truncated version0264.CSV, 0264, Spec0264_B, Bcenter, 66.542431307521, 
FN7114 map truncated version0265.CSV, 0265, Spec0265_B, Bcenter, 69.669401871603, 
FN7114 map truncated version0266.CSV, 0266, Spec0266_B, Bcenter, 59.362714705802, 
FN7114 map truncated version0267.CSV, 0267, Spec0267_B, Bcenter, 48.783763909077, 
FN7114 map truncated version0268.CSV, 0268, Spec0268_B, Bcenter, 44.672732569956, 
FN7114 map truncated version0269.CSV, 0269, Spec0269_B, Bcenter, 43.457949022826, 
FN7114 map truncated version0270.CSV, 0270, Spec0270_B, Bcenter, 58.8181346514, 
